Outcome	drug	Outcome2
No-Effect	J147	No-Effect
No-Effect	PF-06305591	No-Effect
Manual Inspection	ONO-4059	No-Effect
No-Effect	lanifibranor	No-Effect
No-Effect	MK-2295	No-Effect
No-Effect	isavuconazole	No-Effect
No-Effect	satraplatin	No-Effect
No-Effect	dacomitinib	No-Effect
Manual Inspection	ginsenoside-RD	No-Effect
No-Effect	MKT-077	No-Effect
Manual Inspection	cintirorgon	No-Effect
Weak (50%)	celgosivir	Weak (50%)
No-Effect	aticaprant	No-Effect
Weak (50%)	TAK-243	Weak (50%)
No-Effect	PF-06751979	No-Effect
Strong (80%)	SB-743921	Strong (80%)
Manual Inspection	odanacatib	No-Effect
No-Effect	bitopertin	No-Effect
No-Effect	pyrazinoylguanidine	No-Effect
No-Effect	osilodrostat	No-Effect
No-Effect	FN-1501	No-Effect
Weak (50%)	GDC-0941	Weak (50%)
No-Effect	aramchol	No-Effect
Weak (50%)	soblidotin	Weak (50%)
Strong (80%)	elacestrant	Strong (80%)
No-Effect	tavilermide	No-Effect
No-Effect	lusutrombopag	No-Effect
No-Effect	sparsentan	No-Effect
No-Effect	BMS-986142	No-Effect
Manual Inspection	tropifexor	No-Effect
Manual Inspection	LGD-6972	No-Effect
No-Effect	CP-547632	No-Effect
No-Effect	ginsenoside-RE	No-Effect
No-Effect	CFI-400945	No-Effect
No-Effect	glycerol-phenylbutyrate	No-Effect
No-Effect	BAY1217389	No-Effect
No-Effect	ABBV-744	No-Effect
No-Effect	fevipiprant	No-Effect
No-Effect	eldecalcitol	No-Effect
No-Effect	brincidofovir	No-Effect
No-Effect	emricasan	No-Effect
No-Effect	AMG-510	No-Effect
No-Effect	ridinilazole	No-Effect
No-Effect	ralinepag	No-Effect
No-Effect	LY2510924	No-Effect
Manual Inspection	GW274150	No-Effect
No-Effect	eleclazine	No-Effect
No-Effect	cenerimod	No-Effect
No-Effect	gepotidacin	No-Effect
No-Effect	deslorelin	No-Effect
No-Effect	abarelix	No-Effect
No-Effect	veledimex	No-Effect
No-Effect	verubecestat	No-Effect
No-Effect	cenobamate	No-Effect
Very Weak (35%)	PLX51107	Very Weak (35%)
No-Effect	letrazuril	No-Effect
No-Effect	MK-7622	No-Effect
Low (25%)	atuveciclib	Low (25%)
No-Effect	BOS-172722	No-Effect
No-Effect	L-kynurenine	No-Effect
No-Effect	acumapimod	No-Effect
No-Effect	bexagliflozin	No-Effect
Weak (50%)	PF-05175157	Weak (50%)
No-Effect	BMS-986195	No-Effect
No-Effect	JNJ-38877618	No-Effect
No-Effect	pimodivir	No-Effect
No-Effect	BMS-813160	No-Effect
Strong (80%)	VLX1570	No-Effect
No-Effect	GLPG1837	No-Effect
Very Weak (35%)	INCB-057643	Very Weak (35%)
Strong (80%)	sulfatinib	Strong (80%)
No-Effect	etrasimod	No-Effect
No-Effect	resmetirom	No-Effect
No-Effect	seclidemstat	No-Effect
Strong (80%)	dasotraline	Strong (80%)
Strong (80%)	D-3263	Strong (80%)
No-Effect	ETC-206	No-Effect
Manual Inspection	CC-90003	No-Effect
No-Effect	SD-0006	No-Effect
No-Effect	PF-05180999	No-Effect
No-Effect	CA-4948	No-Effect
No-Effect	BI-409306	No-Effect
No-Effect	GSK189254	No-Effect
No-Effect	GLPG0187	No-Effect
No-Effect	HM-30181	No-Effect
No-Effect	eravacycline	No-Effect
No-Effect	GDC-0927	No-Effect
No-Effect	JNJ-54175446	No-Effect
No-Effect	JNJ-678	No-Effect
No-Effect	pemafibrate	No-Effect
Strong (80%)	ferroquine	Strong (80%)
No-Effect	BMS-911543	No-Effect
No-Effect	trodusquemine	No-Effect
No-Effect	Ro-5028442	No-Effect
No-Effect	GDC-0077	No-Effect
No-Effect	GSK2256098	No-Effect
No-Effect	ABX464	No-Effect
Very Weak (35%)	BAY-1895344	Very Weak (35%)
No-Effect	avadomide	No-Effect
No-Effect	vapendavir	No-Effect
Very Weak (35%)	KPT-9274	Very Weak (35%)
No-Effect	banoxantrone	No-Effect
No-Effect	orotic-acid	No-Effect
No-Effect	perindoprilat	No-Effect
No-Effect	gentiopicrin	No-Effect
No-Effect	resiquimod	No-Effect
No-Effect	altinicline	No-Effect
No-Effect	edaglitazone	No-Effect
No-Effect	talnetant	No-Effect
No-Effect	ADX-10059	No-Effect
No-Effect	pexmetinib	No-Effect
Weak (50%)	toyocamycin	Weak (50%)
No-Effect	rostafuroxine	No-Effect
No-Effect	DMP-543	No-Effect
No-Effect	indiplon	No-Effect
No-Effect	zaldaride	No-Effect
No-Effect	chuanxiongzine	No-Effect
No-Effect	isamoltane	No-Effect
No-Effect	tramiprosate	No-Effect
No-Effect	tosedostat	No-Effect
No-Effect	ZK-200775	No-Effect
No-Effect	CPI-613	No-Effect
No-Effect	PF-04620110	No-Effect
No-Effect	CX-516	No-Effect
No-Effect	semaxanib	No-Effect
No-Effect	gaboxadol	No-Effect
No-Effect	exherin	No-Effect
No-Effect	selfotel	No-Effect
No-Effect	medorinone	No-Effect
No-Effect	tenidap	No-Effect
No-Effect	RS-127445	No-Effect
No-Effect	DUP-697	No-Effect
No-Effect	sulopenem	No-Effect
No-Effect	SY-640	No-Effect
No-Effect	PF-02413873	No-Effect
No-Effect	rimeporide	No-Effect
No-Effect	centhaquin	No-Effect
No-Effect	lodenosine	No-Effect
No-Effect	butylidenephthalide	No-Effect
No-Effect	2-fluorofucose	No-Effect
No-Effect	nemazoline	No-Effect
No-Effect	acedoben	No-Effect
No-Effect	isbufylline	No-Effect
No-Effect	centanafadine	No-Effect
No-Effect	prisotinol	No-Effect
No-Effect	MS-424	No-Effect
No-Effect	ilepcimide	No-Effect
Manual Inspection	paraxanthine	No-Effect
No-Effect	benurestat	No-Effect
No-Effect	Imazodan	No-Effect
No-Effect	pelrinone	No-Effect
No-Effect	PF-06260414	No-Effect
No-Effect	2-iminobiotin	No-Effect
No-Effect	sorbinil	No-Effect
No-Effect	enprofylline	No-Effect
Cyto	AZD7762	Cyto
Manual Inspection	XBD173	No-Effect
No-Effect	PS178990	No-Effect
No-Effect	R-1485	No-Effect
No-Effect	CPI-1189	No-Effect
No-Effect	cedrol-(+)	No-Effect
No-Effect	tetradecylthioacetic-acid	No-Effect
No-Effect	MK-1903	No-Effect
No-Effect	alanosine	No-Effect
No-Effect	FK-409	No-Effect
No-Effect	urolithin-A	No-Effect
No-Effect	bergapten	No-Effect
No-Effect	VX-702	No-Effect
Manual Inspection	rhein	No-Effect
No-Effect	dapansutrile	No-Effect
No-Effect	linalool	No-Effect
No-Effect	copper-histidine	No-Effect
No-Effect	verdiperstat	No-Effect
No-Effect	PF-04995274	No-Effect
No-Effect	naxagolide	No-Effect
No-Effect	SCP-1	No-Effect
No-Effect	MK-0608	No-Effect
No-Effect	CI-953	No-Effect
No-Effect	ICI-169369	No-Effect
No-Effect	PSI-6130	No-Effect
No-Effect	carnitine-(D/L)	No-Effect
No-Effect	para-toluenesulfonamide	No-Effect
No-Effect	midafotel	No-Effect
Low (25%)	CGP-37849	Low (25%)
No-Effect	ambazone	No-Effect
No-Effect	azodicarbonamide	No-Effect
No-Effect	5-iodo-A-85380	No-Effect
No-Effect	oxaloacetate	No-Effect
No-Effect	CPP	No-Effect
Low (25%)	SM-108	Low (25%)
Low (25%)	Se-methylselenocysteine	Low (25%)
No-Effect	glutathione-monoisopropyl-ester	No-Effect
No-Effect	afimoxifene	No-Effect
No-Effect	A0001	No-Effect
No-Effect	BE-2254	No-Effect
No-Effect	TNP-470	No-Effect
No-Effect	K-247	No-Effect
No-Effect	GDC-0152	No-Effect
No-Effect	GSK2330672	No-Effect
No-Effect	daucosterol	No-Effect
No-Effect	centpropazine	No-Effect
No-Effect	GSK2190915	No-Effect
Weak (50%)	CB-5083	No-Effect
No-Effect	olesoxime	No-Effect
No-Effect	motesanib	No-Effect
Manual Inspection	piboserod	No-Effect
No-Effect	SRT2104	No-Effect
No-Effect	O6-benzylguanine	No-Effect
Strong (80%)	PRT062607	Strong (80%)
No-Effect	MK-0354	No-Effect
Cyto	alvespimycin	Cyto
Cyto	givinostat	Cyto
Cyto	TAK-960	Cyto
No-Effect	pranidipine	No-Effect
No-Effect	timofibrate	No-Effect
No-Effect	ispinesib	No-Effect
Strong (80%)	bardoxolone	Strong (80%)
No-Effect	YM-750	No-Effect
No-Effect	triapine	No-Effect
Cyto	TP-0903	Cyto
No-Effect	PFK-015	No-Effect
No-Effect	NGD-94-1	No-Effect
No-Effect	irosustat	No-Effect
No-Effect	sanazole	No-Effect
No-Effect	pirquinozol	No-Effect
No-Effect	HKI-357	No-Effect
No-Effect	TAK-220	No-Effect
No-Effect	N-alpha-methylhistamine-dihydrochloride	No-Effect
No-Effect	KD-023	No-Effect
Very Weak (35%)	BMS-833923	Very Weak (35%)
No-Effect	ETC-159	No-Effect
No-Effect	CP-376395	No-Effect
No-Effect	AZD3965	No-Effect
No-Effect	APD597	No-Effect
Manual Inspection	BMS-817378	No-Effect
No-Effect	AZD6738	No-Effect
No-Effect	GSK2256294A	No-Effect
No-Effect	V-51	No-Effect
No-Effect	cabotegravir	No-Effect
No-Effect	AZD3759	No-Effect
No-Effect	PF-05190457	No-Effect
No-Effect	CL316243	No-Effect
No-Effect	dofequidar	No-Effect
No-Effect	secoisolariciresinol-diglucoside	No-Effect
No-Effect	AZD8186	No-Effect
No-Effect	medica-16	No-Effect
No-Effect	BMS-587101	No-Effect
Low (25%)	canertinib	Low (25%)
No-Effect	SR-27897	No-Effect
No-Effect	itacitinib	No-Effect
No-Effect	relebactam	No-Effect
No-Effect	pumosetrag	No-Effect
No-Effect	cromakalim	No-Effect
No-Effect	HMN-214	No-Effect
No-Effect	clinafloxacin	No-Effect
Manual Inspection	moguisteine	No-Effect
No-Effect	entinostat	No-Effect
Low (25%)	MK-6096	Low (25%)
No-Effect	tolamolol	No-Effect
No-Effect	isobutyramide	No-Effect
Cyto	R306465	Cyto
Very Weak (35%)	RV1729	Very Weak (35%)
No-Effect	elacytarabine	No-Effect
No-Effect	rilapladib	No-Effect
Manual Inspection	cilofexor	No-Effect
No-Effect	RGX-104	No-Effect
No-Effect	revefenacin	No-Effect
Weak (50%)	mertansine	Weak (50%)
No-Effect	delafloxacin	No-Effect
No-Effect	rolapitant	No-Effect
Weak (50%)	futibatinib	Weak (50%)
Weak (50%)	mivebresib	Weak (50%)
No-Effect	voruciclib	No-Effect
No-Effect	JNJ-64619178	No-Effect
Weak (50%)	acolbifene	Weak (50%)
Weak (50%)	GDC-0084	Weak (50%)
No-Effect	tomivosertib	No-Effect
No-Effect	LEQ506	No-Effect
No-Effect	pavinetant	No-Effect
No-Effect	E7820	No-Effect
Strong (80%)	amiselimod	No-Effect
No-Effect	daidzin	No-Effect
Strong (80%)	cinobufotalin	Strong (80%)
No-Effect	upamostat	No-Effect
No-Effect	CPI-1205	No-Effect
No-Effect	trilaciclib	No-Effect
No-Effect	inarigivir	No-Effect
No-Effect	emeramide	No-Effect
No-Effect	epigallocatechin-(-)	No-Effect
No-Effect	GSK2982772	No-Effect
No-Effect	MSDC-0602K	No-Effect
No-Effect	R-1487	No-Effect
No-Effect	PF-06412562	No-Effect
No-Effect	merbarone	No-Effect
No-Effect	taminadenant	No-Effect
No-Effect	HBED	No-Effect
No-Effect	BMS-906024	No-Effect
No-Effect	tipelukast	No-Effect
No-Effect	sograzepide	No-Effect
No-Effect	PF-06273340	No-Effect
No-Effect	trabodenoson	No-Effect
No-Effect	parsaclisib	No-Effect
No-Effect	gefapixant	No-Effect
No-Effect	PF-03882845	No-Effect
No-Effect	BMS-770767	No-Effect
No-Effect	nastorazepide	No-Effect
No-Effect	LSZ-102	No-Effect
No-Effect	ripretinib	No-Effect
No-Effect	evenamide	No-Effect
No-Effect	TP-3654	No-Effect
No-Effect	baloxavir	No-Effect
No-Effect	citarinostat	No-Effect
Very Weak (35%)	succinobucol	Very Weak (35%)
No-Effect	radotinib	No-Effect
No-Effect	KM-0118	No-Effect
Low (25%)	FK-866	Low (25%)
No-Effect	EMD-53998	No-Effect
No-Effect	pridopidine	No-Effect
No-Effect	asciminib	No-Effect
No-Effect	nelotanserin	No-Effect
No-Effect	eglumetad	No-Effect
No-Effect	phenserine	No-Effect
No-Effect	prinaberel	No-Effect
No-Effect	metazosin	No-Effect
No-Effect	RSV604	No-Effect
Manual Inspection	CO-102862	No-Effect
No-Effect	20-hydroxyecdysone	No-Effect
No-Effect	GW-501516	No-Effect
No-Effect	amiflamine	No-Effect
No-Effect	talampanel	No-Effect
No-Effect	LY2584702	No-Effect
No-Effect	dideoxyadenosine	No-Effect
No-Effect	PF-05212384	No-Effect
No-Effect	sodium-tanshinone-II-A-sulfonate	No-Effect
No-Effect	lorediplon	No-Effect
Low (25%)	OC000459	Low (25%)
No-Effect	GSK163090	No-Effect
No-Effect	nuclomedone	No-Effect
Weak (50%)	EGF816	Weak (50%)
No-Effect	cortodoxone	No-Effect
No-Effect	isoxepac	No-Effect
No-Effect	benaxibine	No-Effect
No-Effect	DCC-2618	No-Effect
No-Effect	mavoglurant	No-Effect
Weak (50%)	NG-nitro-arginine	Weak (50%)
No-Effect	PI3K-IN-2	No-Effect
No-Effect	marimastat	No-Effect
Manual Inspection	L-365260	No-Effect
Weak (50%)	T-807	Weak (50%)
No-Effect	higenamine	No-Effect
No-Effect	rosiptor	No-Effect
No-Effect	DPC-681	No-Effect
No-Effect	ibrolipim	No-Effect
No-Effect	PD-0325901	No-Effect
Strong (80%)	leucomethylene-blue	Strong (80%)
No-Effect	carboxylosartan	No-Effect
No-Effect	AZD8055	No-Effect
No-Effect	TD139	No-Effect
No-Effect	5-fluoropyrimidine	No-Effect
No-Effect	PF-06459988	No-Effect
No-Effect	lerisetron	No-Effect
No-Effect	proacipimox	No-Effect
No-Effect	LY223982	No-Effect
No-Effect	zopolrestat	No-Effect
No-Effect	2-ethoxybenzoic-acid	No-Effect
No-Effect	tomelukast	No-Effect
No-Effect	aphidicolin	No-Effect
No-Effect	relugolix	No-Effect
No-Effect	diphencyprone	No-Effect
No-Effect	YM-022	No-Effect
No-Effect	pexidartinib	No-Effect
No-Effect	3-hydroxy-3-phenylpentanamide	No-Effect
Manual Inspection	fanetizole	No-Effect
No-Effect	flindokalner	No-Effect
No-Effect	FPL-12495	No-Effect
Manual Inspection	fexinidazole	No-Effect
No-Effect	ginsenoside-C-K	No-Effect
Strong (80%)	tradipitant	Strong (80%)
No-Effect	CB-03-01	No-Effect
No-Effect	nerbacadol	No-Effect
No-Effect	N-salicoylaminophenol	No-Effect
No-Effect	BCX-1470	No-Effect
No-Effect	JNJ-40411813	No-Effect
No-Effect	PX-478	No-Effect
No-Effect	picrotin	No-Effect
No-Effect	FPL-62064	No-Effect
No-Effect	cariporide	No-Effect
No-Effect	AZD4282	No-Effect
No-Effect	PIM-447	No-Effect
Strong (80%)	solamargine	No-Effect
No-Effect	AM-24	No-Effect
No-Effect	idasanutlin	No-Effect
No-Effect	glycitein	No-Effect
No-Effect	erteberel	No-Effect
Low (25%)	PF-02545920	Low (25%)
No-Effect	ORG-9768	No-Effect
No-Effect	fdcyd	No-Effect
No-Effect	asymmetrical-dimethylarginine	No-Effect
Strong (80%)	brequinar	Strong (80%)
No-Effect	tetrahydrouridine	No-Effect
No-Effect	butaclamol	No-Effect
Weak (50%)	I-BET-762	Weak (50%)
No-Effect	lonafarnib	No-Effect
Strong (80%)	bardoxolone-methyl	No-Effect
Cyto	BI-2536	Cyto
Cyto	volasertib	Cyto
No-Effect	KBG	No-Effect
No-Effect	chlorophyllin-copper	No-Effect
No-Effect	acivicin	No-Effect
No-Effect	isofloxythepin	No-Effect
No-Effect	PF-03758309	No-Effect
No-Effect	EX-527	No-Effect
No-Effect	naringeninic-acid	No-Effect
No-Effect	chlorpropham	No-Effect
No-Effect	isodibut	No-Effect
No-Effect	indole-3-pyrubate	No-Effect
No-Effect	tasuldine	No-Effect
No-Effect	trigonelline	No-Effect
No-Effect	swainsonine	No-Effect
No-Effect	GTS21	No-Effect
Manual Inspection	GW-842166	No-Effect
No-Effect	laquinimod	No-Effect
No-Effect	LY2157299	No-Effect
No-Effect	tarafenacin	No-Effect
No-Effect	AV-412	No-Effect
No-Effect	ICI-192605	No-Effect
No-Effect	BMS-806	No-Effect
No-Effect	AZD8931	No-Effect
Weak (50%)	GDC-0980	Weak (50%)
No-Effect	efaproxiral	No-Effect
Manual Inspection	palomid-529	No-Effect
No-Effect	SRT3190	No-Effect
No-Effect	ostarine	No-Effect
No-Effect	LY2334737	No-Effect
No-Effect	apatinib	No-Effect
No-Effect	LY2886721	No-Effect
No-Effect	merimepodib	No-Effect
Very Weak (35%)	AZD2014	Very Weak (35%)
No-Effect	pritelivir	No-Effect
No-Effect	AVN-944	No-Effect
Manual Inspection	ICI-162846	No-Effect
No-Effect	fenobam	No-Effect
No-Effect	flurizan	No-Effect
Manual Inspection	NPC-15199	No-Effect
No-Effect	TAK-715	No-Effect
Manual Inspection	DPPE	No-Effect
No-Effect	ICI-118,551	No-Effect
No-Effect	MK-8245	No-Effect
No-Effect	andrographolide	No-Effect
No-Effect	bemesetron	No-Effect
No-Effect	L-NAME	No-Effect
No-Effect	parthenolide	No-Effect
No-Effect	sobetirome	No-Effect
No-Effect	BMY-14802	No-Effect
No-Effect	BMS-182874	No-Effect
Manual Inspection	SGX523	No-Effect
No-Effect	halopemide	No-Effect
No-Effect	ICI-89406	No-Effect
No-Effect	U-104	No-Effect
No-Effect	licarbazepine	No-Effect
No-Effect	NS-018	No-Effect
No-Effect	HC-030031	No-Effect
No-Effect	Y-39983	No-Effect
No-Effect	voreloxin	No-Effect
No-Effect	batimastat	No-Effect
Cyto	alvocidib	Cyto
No-Effect	ABT-724	No-Effect
No-Effect	AMG-925	No-Effect
No-Effect	VX-745	No-Effect
Low (25%)	12-O-tetradecanoylphorbol-13-acetate	Low (25%)
No-Effect	balapiravir	No-Effect
No-Effect	(S)-(+)-rolipram	No-Effect
No-Effect	CI-976	No-Effect
No-Effect	GW-5074	No-Effect
No-Effect	(R)-(-)-rolipram	No-Effect
No-Effect	zoniporide	No-Effect
No-Effect	SR-33805	No-Effect
No-Effect	CGP-12177	No-Effect
No-Effect	FPL-55712	No-Effect
No-Effect	FK-3311	No-Effect
Manual Inspection	E-4031	No-Effect
No-Effect	altanserin	No-Effect
No-Effect	SR-2640	No-Effect
No-Effect	emodepside	No-Effect
No-Effect	veliparib	No-Effect
Very Weak (35%)	tanespimycin	Very Weak (35%)
No-Effect	PF-915275	No-Effect
No-Effect	robalzotan	No-Effect
No-Effect	RU-28318	No-Effect
No-Effect	ginkgolide-B	No-Effect
Low (25%)	curcumol	Low (25%)
No-Effect	tirasemtiv	No-Effect
No-Effect	daprodustat	No-Effect
No-Effect	BCI-540	No-Effect
Very Weak (35%)	SB-2343	Very Weak (35%)
No-Effect	afalanine	No-Effect
No-Effect	phytosphingosine	No-Effect
No-Effect	LGK-974	No-Effect
No-Effect	VGX-1027	No-Effect
Low (25%)	N-acetyl-D-glucosamine	Low (25%)
No-Effect	RS-0481	No-Effect
No-Effect	RG2833	No-Effect
Very Weak (35%)	ozolinone	Very Weak (35%)
No-Effect	APC-100	No-Effect
No-Effect	LY2140023	No-Effect
No-Effect	idronoxil	No-Effect
Low (25%)	arachidonic-acid	Low (25%)
No-Effect	I-BZA	No-Effect
No-Effect	CH-170	No-Effect
Very Weak (35%)	pinitol	Very Weak (35%)
No-Effect	ferulic-acid	No-Effect
No-Effect	acesulfame-potassium	No-Effect
No-Effect	disodium-sebacate	No-Effect
Manual Inspection	chlorfenson	No-Effect
No-Effect	zometapine	No-Effect
Manual Inspection	seclazone	No-Effect
No-Effect	bipenamol	No-Effect
No-Effect	gemcadiol	No-Effect
No-Effect	somantadine	No-Effect
No-Effect	hexamethylenebisacetamide	No-Effect
No-Effect	ethyl-pyruvate	No-Effect
No-Effect	L-threonine	No-Effect
No-Effect	1,4-butanediol	No-Effect
No-Effect	L-asparagine	No-Effect
No-Effect	N-methylpyrrolidone	No-Effect
No-Effect	rolziracetam	No-Effect
No-Effect	5-FP	No-Effect
No-Effect	bisphenol-A	No-Effect
No-Effect	N-methylformamide	No-Effect
No-Effect	methanesulfonyl-fluoride	No-Effect
No-Effect	2,4-dinitrochlorobenzene	No-Effect
No-Effect	abametapir	No-Effect
No-Effect	eniluracil	No-Effect
No-Effect	cyclocreatine	No-Effect
Manual Inspection	cis-exo-camphanediol-2,3	No-Effect
No-Effect	tempol	No-Effect
No-Effect	tributyrin	No-Effect
No-Effect	L-leucine	No-Effect
No-Effect	7-methylxanthine	No-Effect
No-Effect	ID-1101	No-Effect
Manual Inspection	procysteine	No-Effect
No-Effect	safranal	No-Effect
No-Effect	etoxybamide	No-Effect
No-Effect	guanidinopropionic-acid	No-Effect
Cyto	NVP-BEZ235	Cyto
No-Effect	diminazene-aceturate	No-Effect
No-Effect	zindotrine	No-Effect
No-Effect	phenethyl-isothiocyanate	No-Effect
No-Effect	methyl-nicotinate	No-Effect
No-Effect	2,5-furandimethanol	No-Effect
No-Effect	perillyl-alcohol	No-Effect
No-Effect	icomucret	No-Effect
No-Effect	LTB4	No-Effect
No-Effect	GABA-linoleamide	No-Effect
No-Effect	adatanserin	No-Effect
No-Effect	sodium-butyrate	No-Effect
No-Effect	trebenzomine	No-Effect
No-Effect	apricitabine	No-Effect
No-Effect	ICI-185,282	No-Effect
No-Effect	dexniguldipine	No-Effect
No-Effect	MK-5108	No-Effect
Manual Inspection	ecabapide	No-Effect
No-Effect	BMS-299897	No-Effect
Low (25%)	furegrelate	Low (25%)
No-Effect	EW-7197	No-Effect
No-Effect	atrasentan	No-Effect
No-Effect	MLN2480	No-Effect
No-Effect	APTO-253	No-Effect
No-Effect	metatinib	No-Effect
No-Effect	SU014813	No-Effect
No-Effect	licofelone	No-Effect
Low (25%)	sanguinarium-chloride	Low (25%)
Strong (80%)	sulforaphane	Strong (80%)
No-Effect	BMS-690514	No-Effect
No-Effect	navarixin	No-Effect
Weak (50%)	OTS167	Weak (50%)
No-Effect	cilomilast	No-Effect
Weak (50%)	istaroxime	Weak (50%)
No-Effect	GW-311616	No-Effect
No-Effect	mericitabine	No-Effect
No-Effect	LXR-623	No-Effect
No-Effect	sotrastaurin	No-Effect
No-Effect	genz-644282	No-Effect
No-Effect	kynurenic-acid	No-Effect
No-Effect	Rec-15/2615	No-Effect
No-Effect	GSK923295	No-Effect
No-Effect	zamifenacin	No-Effect
No-Effect	telatinib	No-Effect
No-Effect	CC-930	No-Effect
No-Effect	eperezolid	No-Effect
No-Effect	relcovaptan	No-Effect
No-Effect	bicifadine	No-Effect
No-Effect	tabimorelin	No-Effect
No-Effect	uprosertib	No-Effect
No-Effect	PD-123319	No-Effect
No-Effect	PF-03084014	No-Effect
No-Effect	L-778123	No-Effect
No-Effect	LCQ908	No-Effect
No-Effect	torcetrapib	No-Effect
No-Effect	FR-139317	No-Effect
Cyto	PHA-848125	Cyto
No-Effect	ravoxertinib	No-Effect
No-Effect	tasquinimod	No-Effect
No-Effect	anamorelin	No-Effect
Low (25%)	ethimizol	Low (25%)
No-Effect	efatutazone	No-Effect
No-Effect	TAK-285	No-Effect
No-Effect	arsanilic-acid	No-Effect
No-Effect	VS-4718	No-Effect
No-Effect	AMG-487	No-Effect
Very Weak (35%)	XL888	Very Weak (35%)
No-Effect	tegobuvir	No-Effect
No-Effect	vicriviroc	No-Effect
No-Effect	LX1031	No-Effect
No-Effect	AMG900	No-Effect
Low (25%)	DMP-777	Low (25%)
No-Effect	avasimibe	No-Effect
No-Effect	telcagepant	No-Effect
No-Effect	refametinib	No-Effect
No-Effect	CEP-32496	No-Effect
Strong (80%)	LY2228820	Strong (80%)
No-Effect	AST-1306	No-Effect
No-Effect	exatecan-mesylate	No-Effect
No-Effect	TPPS4	No-Effect
No-Effect	FCE-22250	No-Effect
No-Effect	TG-100801	No-Effect
No-Effect	NOV-002	No-Effect
Weak (50%)	bafetinib	Weak (50%)
Low (25%)	antimony-potassium	Low (25%)
No-Effect	quizartinib	No-Effect
No-Effect	cotinine	No-Effect
No-Effect	LY2608204	No-Effect
No-Effect	rosamicin	No-Effect
No-Effect	CT-7758	No-Effect
No-Effect	danoprevir	No-Effect
Manual Inspection	avagacestat	No-Effect
No-Effect	bevirimat-dimeglumine	No-Effect
No-Effect	JDTic	No-Effect
Weak (50%)	golvatinib	Weak (50%)
No-Effect	tiotidine	No-Effect
No-Effect	taladegib	No-Effect
No-Effect	asunaprevir	No-Effect
No-Effect	MK-0812	No-Effect
No-Effect	paramethadione	No-Effect
No-Effect	pivagabine	No-Effect
Manual Inspection	stiripentol	No-Effect
No-Effect	retapamulin	No-Effect
No-Effect	eupatilin	No-Effect
No-Effect	proglumetacin	No-Effect
No-Effect	propylhexedrine	No-Effect
No-Effect	pentagastrin	No-Effect
Manual Inspection	minodronic-acid	No-Effect
No-Effect	antioxine	No-Effect
No-Effect	tibolone	No-Effect
No-Effect	hydroxychloroquine	No-Effect
No-Effect	bosentan	No-Effect
No-Effect	sofosbuvir	No-Effect
No-Effect	fenoverine	No-Effect
No-Effect	propylthiouracil	No-Effect
No-Effect	valganciclovir	No-Effect
No-Effect	neo-gilurytmal	No-Effect
No-Effect	floctafenine	No-Effect
No-Effect	bopindolol	No-Effect
No-Effect	tirofiban	No-Effect
No-Effect	cefuroxime	No-Effect
No-Effect	creatine	No-Effect
Manual Inspection	ciprofibrate	No-Effect
Manual Inspection	selenomethionine	No-Effect
No-Effect	oxytocin	No-Effect
No-Effect	uridine-triacetate	No-Effect
No-Effect	L-hydroxyproline	No-Effect
No-Effect	rivaroxaban	No-Effect
No-Effect	meclocycline-sulfosalicylate	No-Effect
No-Effect	prednisolone-tebutate	No-Effect
No-Effect	pralidoxime	No-Effect
No-Effect	ethanolamine-oleate	No-Effect
No-Effect	ethacizin	No-Effect
No-Effect	enzalutamide	No-Effect
No-Effect	misoprostol	No-Effect
No-Effect	sucrose	No-Effect
No-Effect	delapril	No-Effect
No-Effect	chloramphenicol-sodium-succinate	No-Effect
Manual Inspection	minoxidil	No-Effect
No-Effect	sulfisoxazole-acetyl	No-Effect
No-Effect	tolonidine	No-Effect
No-Effect	acriflavinium	No-Effect
Manual Inspection	citicoline	No-Effect
Manual Inspection	flurbiprofen-(S)-(+)	No-Effect
No-Effect	tenofovir	No-Effect
No-Effect	dimercaprol	No-Effect
No-Effect	adefovir	No-Effect
No-Effect	norgestimate	No-Effect
No-Effect	emedastine	No-Effect
No-Effect	cimetropium	No-Effect
No-Effect	pyrantel	No-Effect
Manual Inspection	moprolol	No-Effect
No-Effect	phenytoin	No-Effect
No-Effect	acetyl-farnesyl-cysteine	No-Effect
No-Effect	resorcinol-monoacetate	No-Effect
No-Effect	iobenguane	No-Effect
No-Effect	levocabastine	No-Effect
No-Effect	iocetamic-acid	No-Effect
No-Effect	piretanide	No-Effect
No-Effect	sulbutiamine	No-Effect
No-Effect	alpha-tochopheryl-acetate	No-Effect
No-Effect	alcuronium	No-Effect
No-Effect	fosphenytoin	No-Effect
No-Effect	polythiazide	No-Effect
No-Effect	diloxanide	No-Effect
No-Effect	pipecuronium	No-Effect
No-Effect	ephedrine	No-Effect
No-Effect	betazole	No-Effect
No-Effect	etofibrate	No-Effect
No-Effect	deoxycholic-acid	No-Effect
No-Effect	etilefrine	No-Effect
No-Effect	phenprobamate	No-Effect
No-Effect	metocurine	No-Effect
No-Effect	arotinolol	No-Effect
No-Effect	nifekalant	No-Effect
Low (25%)	piribedil	Low (25%)
No-Effect	haloperidol	No-Effect
No-Effect	diflunisal	No-Effect
No-Effect	bambuterol	No-Effect
Cyto	cbl0137	Cyto
No-Effect	SJ-733	No-Effect
No-Effect	evocalcet	No-Effect
